Handle,Title,Body (HTML),Vendor,Type,Tags,Published,Option1 Name,Option1 Value,Option2 Name,Option2 Value,Option3 Name,Option3 Value,Variant SKU,Variant Grams,Variant Inventory Tracker,Variant Inventory Qty,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,Variant Compare At Price,Variant Requires Shipping,Variant Taxable,Variant Barcode,Image Src,Image Position,Image Alt Text,Gift Card,SEO Title,SEO Description,Google Shopping / Google Product Category,Google Shopping / Gender,Google Shopping / Age Group,Google Shopping / MPN,Google Shopping / AdWords Grouping,Google Shopping / AdWords Labels,Google Shopping / Condition,Google Shopping / Custom Product,Google Shopping / Custom Label 0,Google Shopping / Custom Label 1,Google Shopping / Custom Label 2,Google Shopping / Custom Label 3,Google Shopping / Custom Label 4,Variant Image,Variant Weight Unit,Variant Tax Code,Cost per item,Status
chaqueta-monkeys-unique,,,,,,,,m,,navy white logo,,,"",1000.0,shopify,2,deny,manual,119900.00,,true,true,"",,,,,,,,,,,,,,,,,,,,,kg,,,
chaqueta-monkeys-unique,,,,,,,,l,,navy blue logo,,,"",1000.0,shopify,0,deny,manual,119900.00,,true,true,"",,,,,,,,,,,,,,,,,,,,,kg,,,
chaqueta-monkeys-unique,,,,,,,,l,,navy white logo,,,"",1000.0,shopify,3,deny,manual,119900.00,,true,true,"",,,,,,,,,,,,,,,,,,,,,kg,,,
chaqueta-es,chaqueta éS,"<div class=""product-description col-xxs-12 col-sm-7"" data-mce-fragment=""1"">
<h3 data-mce-fragment=""1"">DESCRIPTION</h3>
<p data-mce-fragment=""1"" itemprop=""description"">80/20 Cotton Poly</p>
</div>
<div class=""product-details col-xxs-12 col-sm-5"" data-mce-fragment=""1"">
<h3 data-mce-fragment=""1"">PRODUCT DETAILS</h3>
<div class=""product-number"" data-mce-fragment=""1"">
<strong data-mce-fragment=""1"">Item Code:</strong><span data-mce-fragment=""1""> </span><span data-masterid=""5130001942"" data-mce-fragment=""1"" itemprop=""productID"">5130001942/001</span>
</div>
<div class=""product-color"" data-mce-fragment=""1"">
<strong data-mce-fragment=""1"">Color:</strong><span data-mce-fragment=""1""> </span><span data-mce-fragment=""1"" itemprop=""color"">Black</span>
</div>
<div class=""product-main-attributes"" data-mce-fragment=""1"">
<div class=""line features"" data-mce-fragment=""1"">
<strong data-mce-fragment=""1"">Features:</strong>
<ul class=""value"" data-mce-fragment=""1"">
<li data-mce-fragment=""1""><span data-mce-fragment=""1"">80/20 Cotton Poly</span></li>
</ul>
</div>
</div>
</div>",éS,chaqueta,"chaqueta éS, m",false,Talla,m,Color,black,,,"",1000.0,shopify,1,deny,manual,229900.00,,true,true,"",https://cdn.shopify.com/s/files/1/0539/4871/1093/products/5130001942-001-F-001.png?v=1612659764,1,,false,,,,,,,,,,,,,,,,,kg,,,archived
chaqueta-dc-shoes-2,chaqueta dc shoes,"",dc shoes,chaqueta,"chaqueta dc shoes, xl",true,Talla,xl,Color,olive,,,"",500.0,shopify,1,deny,manual,169900.00,,true,true,"",https://cdn.shopify.com/s/files/1/0539/4871/1093/products/images_11.jpg?v=1612659594,1,,false,,,,,,,,,,,,,,,,,kg,,,active
chaqueta-dc-shoes-2,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0539/4871/1093/products/images_10.jpg?v=1612659594,2,,,,,,,,,,,,,,,,,,,,,,
chaqueta-dc-shoes-2,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0539/4871/1093/products/images_12.jpg?v=1612659594,3,,,,,,,,,,,,,,,,,,,,,,
chaqueta-dc-shoes-1,chaqueta dc shoes sedgefield,"Chaqueta<br data-mce-fragment=""1"">Capucha: con capucha<br data-mce-fragment=""1"">temporada: primavera / otoño<br data-mce-fragment=""1"">Color: camuflaje<br data-mce-fragment=""1"">Corte de chaqueta: anorak",dc shoes,chaqueta,"chaqueta dc shoes, l",true,Talla,l,Color,camo,,,"",500.0,shopify,1,deny,manual,179900.00,,true,true,"",https://cdn.shopify.com/s/files/1/0539/4871/1093/products/images_8.jpg?v=1612659447,1,,false,,,,,,,,,,,,,,,,,kg,,,active
chaqueta-dc-shoes-1,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0539/4871/1093/products/download_35.jpg?v=1612659447,2,,,,,,,,,,,,,,,,,,,,,,
chaqueta-dc-shoes-1,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0539/4871/1093/products/download_36.jpg?v=1612659448,3,,,,,,,,,,,,,,,,,,,,,,
chaqueta-dc-shoes-1,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0539/4871/1093/products/download_37.jpg?v=1612659448,4,,,,,,,,,,,,,,,,,,,,,,
chaqueta-dc-shoes-1,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0539/4871/1093/products/images_6.jpg?v=1612659448,5,,,,,,,,,,,,,,,,,,,,,,
chaqueta-dc-shoes-1,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0539/4871/1093/products/images_7.jpg?v=1612659448,6,,,,,,,,,,,,,,,,,,,,,,
chaqueta-dc-shoes-1,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0539/4871/1093/products/images_9.jpg?v=1612659448,7,,,,,,,,,,,,,,,,,,,,,,
chaqueta-dc-shoes,chaqueta dc shoes,"<button type=""button"" class=""r-slide-action-title"" aria-expanded=""false"" data-mce-fragment=""1"">DETAILS &amp; FEATURES</button>
<div class=""r-slide-action-block-content"" data-mce-fragment=""1"">
<h2 class=""r-desc-short"" data-mce-fragment=""1"">Rai Water-Resistant Track Top for Men</h2>
<p class=""r-desc-long"" data-mce-fragment=""1""> <br data-mce-fragment=""1""></p>
<p data-mce-fragment=""1""> </p>
<p data-mce-fragment=""1""> <br data-mce-fragment=""1""></p>
<p id=""master-product-id"" data-id=""ADYJK03054"" data-mce-fragment=""1"">Style : ADYJK03054</p>
<p class=""r-model"" data-mce-fragment=""1""> <br data-mce-fragment=""1""></p>
<p data-mce-fragment=""1"">The model is 180cm/5'11"" tall and wears a size M in the photo</p>
<p data-mce-fragment=""1""> <br data-mce-fragment=""1""></p>
<p class=""r-slide-action-block-title"" data-mce-fragment=""1"">Features</p>
<ul data-mce-fragment=""1"">
<li data-mce-fragment=""1"">
<p data-mce-fragment=""1""> <br data-mce-fragment=""1""></p>
<p data-mce-fragment=""1""><strong data-mce-fragment=""1"">Fabric:</strong><span data-mce-fragment=""1""> </span>Lightweight water-resistant nylon poplin fabric [125 g/m2]<br data-mce-fragment=""1""></p>
</li>
<li data-mce-fragment=""1"">
<p data-mce-fragment=""1""><strong data-mce-fragment=""1"">Fit:</strong><span data-mce-fragment=""1""> </span>Comfortable regular fit<br data-mce-fragment=""1""></p>
</li>
<li data-mce-fragment=""1"">
<p data-mce-fragment=""1""><strong data-mce-fragment=""1"">Lining/Padding:</strong><span data-mce-fragment=""1""> </span>Full polyester mesh lining<br data-mce-fragment=""1""></p>
</li>
<li data-mce-fragment=""1"">
<p data-mce-fragment=""1""><strong data-mce-fragment=""1"">Pockets:</strong><span data-mce-fragment=""1""> </span>Angled welt pockets with zip<br data-mce-fragment=""1""></p>
</li>
<li data-mce-fragment=""1"">
<p data-mce-fragment=""1"">Debossed logo on external back neck<br data-mce-fragment=""1""></p>
</li>
<li data-mce-fragment=""1"">
<p data-mce-fragment=""1"">Reflective wrap-around print<br data-mce-fragment=""1""></p>
</li>
<li data-mce-fragment=""1"">
<p data-mce-fragment=""1""><strong data-mce-fragment=""1"">Closure:</strong><span data-mce-fragment=""1""> </span>Vislon® zip on front<br data-mce-fragment=""1""></p>
</li>
<li data-mce-fragment=""1"">
<p data-mce-fragment=""1"">Elasticized cuffs<br data-mce-fragment=""1""></p>
</li>
<li data-mce-fragment=""1"">
<p data-mce-fragment=""1"">Slit zip openings on sides of jacket</p>
<p data-mce-fragment=""1""> <br data-mce-fragment=""1""></p>
</li>
</ul>
<p class=""r-slide-action-block-title"" data-mce-fragment=""1"">Composition</p>
<p data-mce-fragment=""1""> <br data-mce-fragment=""1""></p>
<p data-mce-fragment=""1"">100% Nylon</p>
</div>",dc shoes,chaqueta,"chaqueta dc shoes, l",false,Talla,l,Color,white navy red,,,"",500.0,shopify,1,deny,manual,199900.00,,true,true,"",https://cdn.shopify.com/s/files/1/0539/4871/1093/products/download_27.jpg?v=1612659294,1,,false,,,,,,,,,,,,,,,,,kg,,,archived
chaqueta-dc-shoes,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0539/4871/1093/products/download_28.jpg?v=1612659295,2,,,,,,,,,,,,,,,,,,,,,,
chaqueta-dc-shoes,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0539/4871/1093/products/download_29.jpg?v=1612659295,3,,,,,,,,,,,,,,,,,,,,,,
chaqueta-dc-shoes,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0539/4871/1093/products/download_30.jpg?v=1612659295,4,,,,,,,,,,,,,,,,,,,,,,
chaqueta-dc-shoes,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0539/4871/1093/products/download_31.jpg?v=1612659296,5,,,,,,,,,,,,,,,,,,,,,,
chaqueta-dc-shoes,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0539/4871/1093/products/download_32.jpg?v=1612659296,6,,,,,,,,,,,,,,,,,,,,,,
chaqueta-dc-shoes,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0539/4871/1093/products/download_33.jpg?v=1612659296,7,,,,,,,,,,,,,,,,,,,,,,
chaqueta-dc-shoes,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0539/4871/1093/products/download_34.jpg?v=1612659296,8,,,,,,,,,,,,,,,,,,,,,,
chaqueta-dc-shoes,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0539/4871/1093/products/images_2_6fc7d879-ebb6-403a-b032-09f1c45b6105.jpg?v=1612659297,9,,,,,,,,,,,,,,,,,,,,,,
chaqueta-dc-shoes,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0539/4871/1093/products/images_3_1e114230-e1dc-4b96-ad89-d91254193b69.jpg?v=1612659297,10,,,,,,,,,,,,,,,,,,,,,,
chaqueta-dc-shoes,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0539/4871/1093/products/images_4.jpg?v=1612659297,11,,,,,,,,,,,,,,,,,,,,,,
chaqueta-dc-shoes,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0539/4871/1093/products/images_5.jpg?v=1612659297,12,,,,,,,,,,,,,,,,,,,,,,
chaqueta-dgk-mujer,chaqueta dgk mujer,"",dgk,chaqueta,"chaqueta dgk, xs",true,Talla,xs,Color,white,,,"",500.0,shopify,1,deny,manual,149900.00,,true,true,"",https://cdn.shopify.com/s/files/1/0539/4871/1093/products/download_26.jpg?v=1612659099,1,,false,,,,,,,,,,,,,,,,,kg,,,active
buso-globe,G-2 ZIP HOODED FLEECE,"<table width=""100%"" cellspacing=""0"" cellpadding=""0"" role=""presentation"" data-mce-fragment=""1"">
<tbody data-mce-fragment=""1"">
<tr data-mce-fragment=""1"">
<td class=""attrLabels"" data-mce-fragment=""1"">Estado:</td>
<td width=""50.0%"" data-mce-fragment=""1"">
<div aria-live=""polite"" data-mce-fragment=""1"">Nuevo con etiquetas:<span data-mce-fragment=""1""> </span>
</div>
</td>
<td class=""attrLabels"" data-mce-fragment=""1"">Estado del artículo:</td>
<td width=""50.0%"" data-mce-fragment=""1""><span data-mce-fragment=""1"">Nuevo con etiquetas</span></td>
</tr>
<tr data-mce-fragment=""1"">
<td class=""attrLabels"" data-mce-fragment=""1"">Marca:</td>
<td width=""50.0%"" data-mce-fragment=""1""><span data-mce-fragment=""1"">Globe</span></td>
<td class=""attrLabels"" data-mce-fragment=""1"">Largo de manga:</td>
<td width=""50.0%"" data-mce-fragment=""1""><span data-mce-fragment=""1"">Manga larga</span></td>
</tr>
<tr data-mce-fragment=""1"">
<td class=""attrLabels"" data-mce-fragment=""1"">Tipo de talla:</td>
<td width=""50.0%"" data-mce-fragment=""1""><span data-mce-fragment=""1"">Normal</span></td>
<td class=""attrLabels"" data-mce-fragment=""1"">Fit:</td>
<td width=""50.0%"" data-mce-fragment=""1""><span data-mce-fragment=""1"">Regular</span></td>
</tr>
<tr data-mce-fragment=""1"">
<td class=""attrLabels"" data-mce-fragment=""1"">Department:</td>
<td width=""50.0%"" data-mce-fragment=""1""><span data-mce-fragment=""1"">Men</span></td>
<td class=""attrLabels"" data-mce-fragment=""1"">Handmade:</td>
<td width=""50.0%"" data-mce-fragment=""1""><span data-mce-fragment=""1"">No</span></td>
</tr>
<tr data-mce-fragment=""1"">
<td class=""attrLabels"" data-mce-fragment=""1"">Vintage:</td>
<td width=""50.0%"" data-mce-fragment=""1""><span data-mce-fragment=""1"">No</span></td>
<td class=""attrLabels"" data-mce-fragment=""1"">Personalized:</td>
<td width=""50.0%"" data-mce-fragment=""1""><span data-mce-fragment=""1"">No</span></td>
</tr>
<tr data-mce-fragment=""1"">
<td class=""attrLabels"" data-mce-fragment=""1"">Performance/Activity:</td>
<td width=""50.0%"" data-mce-fragment=""1""><span data-mce-fragment=""1"">Skateboarding</span></td>
<td class=""attrLabels"" data-mce-fragment=""1"">Estilo:</td>
<td width=""50.0%"" data-mce-fragment=""1""><span data-mce-fragment=""1"">Sudadera con capucha</span></td>
</tr>
</tbody>
</table>",globe,buso,"buso globe, s",true,Talla,s,Color,blue,,,GLB01,500.0,shopify,1,deny,manual,119900.00,,true,true,069632198721,https://cdn.shopify.com/s/files/1/0539/4871/1093/products/DSCN5006.jpg?v=1612658956,1,,false,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0539/4871/1093/products/DSCN5006.jpg?v=1612658956,kg,,,active
buso-dc-shoes-1,Circle star ph,"<h2 class=""prd-description-title mbm"" data-mce-fragment=""1"">DETALLES DEL PRODUCTO</h2>
<div class=""prd-information mbl prm"" data-mce-fragment=""1"">Buzo con capucha y acabada con gráfico en el centro de la parte delantera</div>
<h2 class=""prd-description-title mbm"" data-mce-fragment=""1"">INFORMACIÓN</h2>
<div class=""prm"" data-mce-fragment=""1"">
<table class=""prd-attributes mbl prm"" data-mce-fragment=""1"">
<tbody data-mce-fragment=""1"">
<tr data-mce-fragment=""1"">
<td class=""name"" data-mce-fragment=""1"">Sexo</td>
<td data-mce-fragment=""1"">Masculino</td>
</tr>
<tr data-mce-fragment=""1"">
<td class=""name"" data-mce-fragment=""1"">Material principal</td>
<td data-mce-fragment=""1"">Algodón</td>
</tr>
<tr data-mce-fragment=""1"">
<td class=""name"" data-mce-fragment=""1"">Color</td>
<td data-mce-fragment=""1"">NEGRO</td>
</tr>
<tr data-mce-fragment=""1"">
<td class=""name"" data-mce-fragment=""1"">Mangas</td>
<td data-mce-fragment=""1"">Manga larga</td>
</tr>
<tr data-mce-fragment=""1"">
<td class=""name"" data-mce-fragment=""1"">Actividad</td>
<td data-mce-fragment=""1"">lifestyle</td>
</tr>
<tr data-mce-fragment=""1"">
<td class=""name"" data-mce-fragment=""1"">Código Artículo</td>
<td data-mce-fragment=""1"">DC210AT23ZSUCO</td>
</tr>
</tbody>
</table>
</div>",dc shoes,buso,"buso dc shoes, s",false,Talla,s,Color,black,,,DCB02,500.0,shopify,2,deny,manual,159900.00,,true,true,191282701874,https://cdn.shopify.com/s/files/1/0539/4871/1093/products/download_25.jpg?v=1612658832,1,,false,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0539/4871/1093/products/download_25.jpg?v=1612658832,kg,,,archived
buso-dc-shoes-1,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0539/4871/1093/products/download_24.jpg?v=1612658833,2,,,,,,,,,,,,,,,,,,,,,,
buso-dc-shoes,Starcousa,"DETALLES &amp; CARACTERÍSTICAS<br data-mce-fragment=""1"">Sudadera con capucha Star CO USA para hombre<br data-mce-fragment=""1"">Modelo: ADYSF03044<br data-mce-fragment=""1""><br data-mce-fragment=""1"">Características técnicas<br data-mce-fragment=""1""><br data-mce-fragment=""1"">Tejido: algodón poliéster<br data-mce-fragment=""1"">Ajuste: ajuste regular cómodo<br data-mce-fragment=""1"">Composición<br data-mce-fragment=""1""><br data-mce-fragment=""1"">80% algodón, 20% poliéster<img src=""https://cdn.shopify.com/s/files/1/0539/4871/1093/files/logo-dc_480x480.png?v=1612800807"" alt="""" data-mce-fragment=""1"" data-mce-src=""https://cdn.shopify.com/s/files/1/0539/4871/1093/files/logo-dc_480x480.png?v=1612800807"">",dc shoes,buso,"buso dc shoes, m",true,Talla,m,Color,navy,,,DCB01,500.0,shopify,1,deny,manual,169900.00,,true,true,191282853702,https://cdn.shopify.com/s/files/1/0539/4871/1093/products/download_21.jpg?v=1612658662,1,,false,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0539/4871/1093/products/download_21.jpg?v=1612658662,kg,,,active
buso-dc-shoes,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0539/4871/1093/products/download_22.jpg?v=1612658662,2,,,,,,,,,,,,,,,,,,,,,,
buso-dc-shoes,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0539/4871/1093/products/download_23.jpg?v=1612658663,3,,,,,,,,,,,,,,,,,,,,,,
buso-asphalt-1,buso asphalt,"",asphalt,buso,"buso asphalt, l",true,Talla,l,Color,gris verde,,,AS01,500.0,shopify,1,deny,manual,119900.00,,true,true,888236558133,https://cdn.shopify.com/s/files/1/0539/4871/1093/products/DSCN5001.jpg?v=1612658498,1,,false,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0539/4871/1093/products/DSCN5001.jpg?v=1612658498,kg,,,active
buso-asphalt,buso asphalt,"",asphalt,buso,"busos asphalt, l, m",true,Talla,m,Color,gris,,,"",500.0,shopify,1,deny,manual,119900.00,,true,true,"",https://cdn.shopify.com/s/files/1/0539/4871/1093/products/DSCN5002.jpg?v=1612658375,1,,false,,,,,,,,,,,,,,,,,kg,,,active
buso-asphalt,,,,,,,,l,,gris,,,"",500.0,shopify,1,deny,manual,119900.00,,true,true,"",,,,,,,,,,,,,,,,,,,,,kg,,,
camiseta-es-2,camiseta éS,"",éS,camisetas,"camiseta éS, xxl",true,Talla,xxl,Color,red,,,"",500.0,shopify,0,deny,manual,79900.00,,true,true,"",https://cdn.shopify.com/s/files/1/0539/4871/1093/products/DSCN4975.jpg?v=1612658103,1,,false,,,,,,,,,,,,,,,,,kg,,,active
camiseta-emerica-3,camiseta emerica,"",emerica,camisetas,"camiseta emerica, l",true,Talla,l,Color,black,,,"",500.0,shopify,1,deny,manual,79900.00,,true,true,"",https://cdn.shopify.com/s/files/1/0539/4871/1093/products/DSCN4937.jpg?v=1612657646,1,,false,,,,,,,,,,,,,,,,,kg,,,active
camiseta-stampede,camiseta stampede,"",stampede,camisetas,"camiseta stampede, m",true,Talla,m,Color,rojo,,,"",500.0,shopify,1,deny,manual,59900.00,,true,true,"",https://cdn.shopify.com/s/files/1/0539/4871/1093/products/DSCN4960.....................................................................jpg?v=1612657357,1,,false,,,,,,,,,,,,,,,,,kg,,,active
camiseta-cliche,camiseta cliche,"",cliche,camisetas,"camiseta cliche, m",true,Talla,m,Color,black,,,"",500.0,shopify,1,deny,manual,59900.00,,true,true,"",https://cdn.shopify.com/s/files/1/0539/4871/1093/products/DSCN4966.................................................................jpg?v=1612657214,1,,false,,,,,,,,,,,,,,,,,kg,,,active
camiseta-diamond,camiseta diamond,"",diamond,camisetas,"camiseta diamond, m",true,Talla,m,Color,rojo,,,"",500.0,shopify,2,deny,manual,59900.00,,true,true,"",https://cdn.shopify.com/s/files/1/0539/4871/1093/products/DSCN4961.........................................................................2.jpg?v=1612656848,1,,false,,,,,,,,,,,,,,,,,kg,,,active
camiseta-emerica-2,camiseta emerica third base,"DESCRIPCIÓN<br data-mce-fragment=""1"">Camiseta de corte clásico de 5.5 onzas con logo serigrafiado en la parte delantera del pecho.<br data-mce-fragment=""1""><br data-mce-fragment=""1"">DETALLES DE PRODUCTO<br data-mce-fragment=""1""><br data-mce-fragment=""1"">Color: azul marino<br data-mce-fragment=""1"">Características:<br data-mce-fragment=""1"">Ajuste clásico<br data-mce-fragment=""1"">Camiseta de 5.5 onzas<br data-mce-fragment=""1"">Logotipo serigrafiado en el pecho",emerica,camisetas,"camiseta emerica, m, s",true,Talla,s,Color,navy,,,"",500.0,shopify,1,deny,manual,59900.00,,true,true,"",https://cdn.shopify.com/s/files/1/0539/4871/1093/products/DSCN4965........................................................................jpg?v=1612657066,1,,false,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0539/4871/1093/products/DSCN4965........................................................................jpg?v=1612657066,kg,,,active
camiseta-emerica-2,,,,,,,,m,,navy,,,"",500.0,shopify,4,deny,manual,59900.00,,true,true,"",,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0539/4871/1093/products/DSCN4965........................................................................jpg?v=1612657066,kg,,,
camiseta-emerica-1,camiseta emerica third base,"DESCRIPCIÓN<br data-mce-fragment=""1"">Camiseta de corte clásico de 5.5 onzas con logo serigrafiado en la parte delantera del pecho.<br data-mce-fragment=""1""><br data-mce-fragment=""1"">DETALLES DE PRODUCTO<br data-mce-fragment=""1"">Código del artículo: 6130002712/001<br data-mce-fragment=""1"">De color negro<br data-mce-fragment=""1"">Características:<br data-mce-fragment=""1"">Ajuste clásico<br data-mce-fragment=""1"">Camiseta de 5.5 onzas<br data-mce-fragment=""1"">Logotipo serigrafiado en el pecho",emerica,camisetas,"camiseta emerica, l, m, s",true,Talla,s,Color,black,,,"",500.0,shopify,1,deny,manual,59900.00,,true,true,"",https://cdn.shopify.com/s/files/1/0539/4871/1093/products/DSCN4982................................................................jpg?v=1612656532,1,,false,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0539/4871/1093/products/DSCN4982................................................................jpg?v=1612656532,kg,,,active
camiseta-emerica-1,,,,,,,,m,,black,,,"",500.0,shopify,3,deny,manual,59900.00,,true,true,"",,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0539/4871/1093/products/DSCN4982................................................................jpg?v=1612656532,kg,,,
camiseta-emerica-1,,,,,,,,l,,black,,,"",500.0,shopify,1,deny,manual,59900.00,,true,true,"",,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0539/4871/1093/products/DSCN4982................................................................jpg?v=1612656532,kg,,,
camiseta-es,camiseta éS main block tee,"DESCRIPCIÓN<br data-mce-fragment=""1"">Jersey 100% algodón hilado suave. Preencogido para minimizar el desgaste de la lavadora.<br data-mce-fragment=""1""><br data-mce-fragment=""1"">DETALLES DE PRODUCTO<br data-mce-fragment=""1"">Código del artículo: 5130001935/001<br data-mce-fragment=""1"">De color negro<br data-mce-fragment=""1"">Características:<br data-mce-fragment=""1"">Camiseta 100% algodón hilado suave<br data-mce-fragment=""1"">Cuello de canalé fijo con cinta de hombro a hombro<br data-mce-fragment=""1"">Dobladillo inferior y manga de doble aguja<br data-mce-fragment=""1"">Pre-encogido<br data-mce-fragment=""1"">Gráficos serigrafiados",éS,camisetas,"camiseta éS, m, s",true,Talla,s,Color,black,,,"",500.0,shopify,1,deny,manual,79900.00,,true,true,"",https://cdn.shopify.com/s/files/1/0539/4871/1093/products/DSCN4983..............................2.jpg?v=1612656375,1,,false,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0539/4871/1093/products/DSCN4983..............................2.jpg?v=1612656375,kg,,,active
camiseta-es,,,,,,,,m,,black,,,"",500.0,shopify,1,deny,manual,79900.00,,true,true,"",,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0539/4871/1093/products/DSCN4983..............................2.jpg?v=1612656375,kg,,,
camiseta-emerica,camiseta emerica greetings t,"<div class=""product-description col-xxs-12 col-sm-7"" data-mce-fragment=""1"">
<h3 data-mce-fragment=""1"">DESCRIPTION</h3>
<p data-mce-fragment=""1"" itemprop=""description""> <br data-mce-fragment=""1""></p>
</div>
<div class=""product-details col-xxs-12 col-sm-5"" data-mce-fragment=""1"">
<h3 data-mce-fragment=""1"">PRODUCT DETAILS</h3>
<div class=""product-number"" data-mce-fragment=""1"">
<strong data-mce-fragment=""1"">Item Code:</strong><span data-mce-fragment=""1""> </span><span data-masterid=""6130001781"" data-mce-fragment=""1"" itemprop=""productID"">6130001781</span>
</div>
</div>",emerica,camisetas,"camiseta emerica, s",true,Talla,s,Color,black,,,eme 301,500.0,shopify,1,deny,manual,79900.00,,true,true,889262498202,https://cdn.shopify.com/s/files/1/0539/4871/1093/products/download_20.jpg?v=1612656137,1,,false,,,,,,,,,,,,,,,,,kg,,,active
camiseta-globe-2,camiseta globe,"",globe,camisetas,"camiseta globe, s",true,Talla,s,Color,black,,,"",500.0,shopify,1,deny,manual,59900.00,,true,true,"",https://cdn.shopify.com/s/files/1/0539/4871/1093/products/DSCN4992...........................................................jpg?v=1612655944,1,,false,,,,,,,,,,,,,,,,,kg,,,active
camiseta-globe-1,camiseta globe me first devo,"Características del artículo<br data-mce-fragment=""1"">Estado:<br data-mce-fragment=""1"">Nuevo con etiquetas: Un artículo completamente nuevo, que no fue utilizado ni tiene desgaste (incluidos los hechos a mano) en su envase original (como la caja o la bolsa original) y / o con las etiquetas originales. Ver todas las definiciones de estado Estado del artículo: Nuevo con etiquetas<br data-mce-fragment=""1"">Marca: Globe Impresión gráfica:<br data-mce-fragment=""1"">Tamaño: M Hecho a mano: No<br data-mce-fragment=""1"">Tipo de talla: Normal Personalizado<br data-mce-fragment=""1"">Color:<br data-mce-fragment=""1"">Negro<br data-mce-fragment=""1"">Modelo: First Devo<br data-mce-fragment=""1"">Tipo: Camiseta / Polera Cuidado de prendas: Lavable a máquina<br data-mce-fragment=""1"">Largo de manga: Manga corta Fabricante Color: Blacks<br data-mce-fragment=""1"">Corte: Regular Estilo: Camiseta estampada<br data-mce-fragment=""1""><br>",globe,camisetas,"camiseta globe, m, s",true,Talla,s,Color,black,,,glo 305,500.0,shopify,1,deny,manual,59900.00,,true,true,069632183987,https://cdn.shopify.com/s/files/1/0539/4871/1093/products/DSCN4990........................................................................jpg?v=1612655855,1,,false,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0539/4871/1093/products/DSCN4990........................................................................jpg?v=1612655855,kg,,,active
camiseta-globe-1,,,,,,,,m,,black,,,glo305,500.0,shopify,1,deny,manual,59900.00,,true,true,069632183987,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0539/4871/1093/products/DSCN4990........................................................................jpg?v=1612655855,kg,,,
camiseta-matix,camiseta matix,"",matix,camisetas,"camiseta matix, s",true,Talla,s,Color,gris,,,"",500.0,shopify,1,deny,manual,59900.00,,true,true,"",https://cdn.shopify.com/s/files/1/0539/4871/1093/products/DSCN4993............................................................................jpg?v=1612655729,1,,false,,,,,,,,,,,,,,,,,kg,,,active
camiseta-globe,camiseta globe,"",globe,camisetas,"camiseta globe, s",true,Talla,s,Color,blanco,,,"",500.0,shopify,1,deny,manual,59900.00,,true,true,"",https://cdn.shopify.com/s/files/1/0539/4871/1093/products/DSCN4978...........................................................................jpg?v=1612655624,1,,false,,,,,,,,,,,,,,,,,kg,,,active
